signal_ts_et,date,time_et,symbol,side,score,underlying_close,fire_rank,c_trend,c_vwap_evt,c_or_evt,c_squeeze,c_rsi,c_vol,engine,conflict_bar
2026-06-18T10:30:00-04:00,2026-06-18,10:30,SPY,P,50,745.37,1,True,False,True,False,True,False,scout,True
2026-06-18T10:45:00-04:00,2026-06-18,10:45,IWM,C,45,293.35,1,False,True,True,False,True,False,scout,False
2026-06-18T11:00:00-04:00,2026-06-18,11:00,SPY,P,50,746.84,3,True,False,True,False,True,False,scout,False
2026-06-18T11:15:00-04:00,2026-06-18,11:15,AMZN,C,50,241.42,1,,,,,,,prime,False
2026-06-18T11:15:00-04:00,2026-06-18,11:15,IWM,P,50,293.8,3,True,False,True,False,True,False,scout,False
2026-06-18T11:15:00-04:00,2026-06-18,11:15,QQQ,C,45,738.04,1,True,False,False,True,False,False,scout,False
2026-06-18T11:30:00-04:00,2026-06-18,11:30,SPY,P,70,745.38,5,True,True,True,False,True,False,scout,False
2026-06-18T11:45:00-04:00,2026-06-18,11:45,IWM,P,45,293.48,4,True,False,False,False,True,True,scout,False
2026-06-18T11:45:00-04:00,2026-06-18,11:45,QQQ,C,65,735.89,3,True,False,False,True,True,True,scout,False
2026-06-18T12:15:00-04:00,2026-06-18,12:15,SPY,C,55,746.19,2,False,False,True,True,True,True,scout,False
2026-06-18T13:30:00-04:00,2026-06-18,13:30,IWM,C,55,294.31,3,True,False,False,True,True,False,scout,False
2026-06-22T10:15:00-04:00,2026-06-22,10:15,AAPL,C,65,301.85,1,,,,,,,prime,False
2026-06-22T10:15:00-04:00,2026-06-22,10:15,AMZN,P,60,237.69,1,,,,,,,prime,False
2026-06-22T10:15:00-04:00,2026-06-22,10:15,IWM,C,45,298.31,1,True,False,False,True,False,False,scout,False
2026-06-22T10:30:00-04:00,2026-06-22,10:30,QQQ,C,50,740.43,1,True,False,True,False,True,False,scout,False
2026-06-22T10:30:00-04:00,2026-06-22,10:30,TSLA,C,55,409.8,1,,,,,,,prime,False
2026-06-22T11:00:00-04:00,2026-06-22,11:00,SPY,P,45,744.72,1,True,False,False,True,False,False,scout,False
2026-06-22T11:30:00-04:00,2026-06-22,11:30,SPY,P,45,744.39,3,True,False,False,True,False,False,scout,False
2026-06-22T11:45:00-04:00,2026-06-22,11:45,IWM,C,80,297.99,2,True,True,True,True,False,False,scout,False
2026-06-22T12:00:00-04:00,2026-06-22,12:00,SPY,P,45,744.61,5,True,False,False,True,False,False,scout,False
2026-06-22T12:15:00-04:00,2026-06-22,12:15,IWM,C,60,297.75,3,True,False,True,True,False,False,scout,False
2026-06-22T13:00:00-04:00,2026-06-22,13:00,IWM,C,60,298.11,4,True,True,True,False,False,False,scout,False
2026-06-23T10:15:00-04:00,2026-06-23,10:15,QQQ,P,55,722.47,1,True,False,False,True,False,True,scout,False
2026-06-23T10:30:00-04:00,2026-06-23,10:30,SPY,P,45,738.9,1,True,False,False,True,False,False,scout,False
2026-06-23T10:45:00-04:00,2026-06-23,10:45,QQQ,P,60,719.61,3,True,False,True,True,False,False,scout,False
2026-06-23T11:00:00-04:00,2026-06-23,11:00,SPY,P,60,737.0,3,True,False,True,True,False,False,scout,False
2026-06-23T11:15:00-04:00,2026-06-23,11:15,QQQ,P,80,717.33,5,True,True,True,True,False,False,scout,False
2026-06-23T11:30:00-04:00,2026-06-23,11:30,SPY,P,60,734.59,5,True,False,True,True,False,False,scout,False
2026-06-23T13:00:00-04:00,2026-06-23,13:00,IWM,C,55,297.2,1,True,False,False,True,True,False,scout,False
2026-06-23T13:30:00-04:00,2026-06-23,13:30,IWM,C,55,297.35,3,True,False,False,True,True,False,scout,False
2026-06-24T10:00:00-04:00,2026-06-24,10:00,GOOGL,C,65,350.3,1,,,,,,,prime,False
2026-06-24T10:00:00-04:00,2026-06-24,10:00,NVDA,P,55,200.25,1,,,,,,,prime,False
2026-06-24T10:15:00-04:00,2026-06-24,10:15,IWM,P,70,296.6,1,True,False,True,True,True,False,scout,False
2026-06-24T10:15:00-04:00,2026-06-24,10:15,QQQ,P,45,714.29,1,True,False,False,True,False,False,scout,False
2026-06-24T10:15:00-04:00,2026-06-24,10:15,SPY,P,60,735.59,1,True,False,True,True,False,False,scout,False
2026-06-24T10:45:00-04:00,2026-06-24,10:45,QQQ,P,50,717.09,2,True,False,True,False,True,False,scout,False
2026-06-24T10:45:00-04:00,2026-06-24,10:45,SPY,P,50,737.62,3,True,False,True,False,True,False,scout,False
2026-06-24T11:00:00-04:00,2026-06-24,11:00,IWM,C,45,299.09,1,True,False,False,True,False,False,scout,False
2026-06-24T11:15:00-04:00,2026-06-24,11:15,QQQ,P,50,716.98,3,True,False,True,False,True,False,scout,False
2026-06-24T11:30:00-04:00,2026-06-24,11:30,IWM,C,45,299.58,3,True,False,False,True,False,False,scout,False
2026-06-24T12:00:00-04:00,2026-06-24,12:00,QQQ,P,50,716.3,5,True,False,True,False,True,False,scout,False
2026-06-24T13:45:00-04:00,2026-06-24,13:45,SPY,P,45,731.95,4,True,False,False,True,False,False,scout,False
