trade_id,date,symbol,side,engine,score,c_rsi,c_vwap_evt,c_trend,strike,entry_price,exit_price,exit_reason,exit_min,armed,mfe_pct,mins_to_first_uptick,pnl
2026-05-28_IWM_C_1015,2026-05-28,IWM,C,scout,55,True,True,False,291.0,0.49,0.49,trail,5.0,True,44.9,1.0,0.0
2026-05-28_MSFT_C_1015,2026-05-28,MSFT,C,prime,55,,,,430.0,2.95,3.05,trail,7.0,True,22.0,1.0,10.0
2026-05-28_QQQ_C_1015,2026-05-28,QQQ,C,scout,70,False,False,True,733.0,1.18,1.15,trail,5.0,True,28.8,1.0,-3.0
2026-05-28_QQQ_C_1030,2026-05-28,QQQ,C,scout,45,False,False,True,732.0,1.97,1.62,timestop,16.0,False,-0.5,,-35.0
2026-05-28_QQQ_C_1045,2026-05-28,QQQ,C,scout,45,False,False,True,733.0,1.44,2.0,window_end,28.0,True,54.9,11.0,56.0
2026-05-28_IWM_C_1115,2026-05-28,IWM,C,scout,45,False,False,True,292.0,0.41,0.53,trail,17.0,True,56.1,1.1,12.0
2026-05-28_IWM_C_1130,2026-05-28,IWM,C,scout,45,False,False,True,292.0,0.57,0.56,trail,12.0,True,19.3,4.0,-1.0
2026-05-28_IWM_C_1145,2026-05-28,IWM,C,scout,45,False,False,True,292.0,0.54,0.51,timestop,16.0,False,-1.9,,-3.0
2026-05-29_NVDA_C_1000,2026-05-29,NVDA,C,prime,60,,,,217.5,1.13,0.9,timestop,16.0,False,-1.8,,-23.0
2026-05-29_AVGO_C_1015,2026-05-29,AVGO,C,prime,55,,,,445.0,2.54,1.2,timestop,15.0,False,-8.7,,-134.0
2026-05-29_GOOGL_P_1015,2026-05-29,GOOGL,P,prime,55,,,,382.5,1.55,1.31,trail,12.1,True,10.3,8.0,-24.0
2026-05-29_MSFT_C_1015,2026-05-29,MSFT,C,prime,55,,,,445.0,0.72,0.67,timestop,16.0,False,0.0,,-5.0
2026-05-29_QQQ_C_1015,2026-05-29,QQQ,C,scout,70,False,False,True,740.0,1.6,1.4,timestop,15.0,False,1.2,5.0,-20.0
2026-05-29_QQQ_C_1030,2026-05-29,QQQ,C,scout,50,False,False,True,739.0,1.9,0.79,timestop,15.9,False,8.9,4.0,-111.0
2026-05-29_QQQ_C_1045,2026-05-29,QQQ,C,scout,45,True,False,True,736.0,2.02,2.56,trail,9.0,True,51.0,3.0,54.0
2026-05-29_TSLA_P_1045,2026-05-29,TSLA,P,prime,55,,,,427.5,1.91,0.8,timestop,16.0,False,6.8,1.0,-111.0
2026-05-29_TSLA_C_1230,2026-05-29,TSLA,C,prime,45,,,,440.0,1.32,1.39,trail,5.0,True,35.6,1.0,7.0
2026-05-29_IWM_P_1330,2026-05-29,IWM,P,scout,50,True,False,True,290.0,0.31,0.35,trail,21.2,True,38.7,11.2,4.0
2026-05-29_IWM_P_1345,2026-05-29,IWM,P,scout,50,True,False,True,290.0,0.42,0.46,trail,17.0,True,45.2,1.0,4.0
2026-05-29_IWM_P_1400,2026-05-29,IWM,P,scout,45,False,True,True,289.0,0.25,0.14,timestop,15.9,False,-4.0,,-11.0
2026-06-01_AMZN_P_1000,2026-06-01,AMZN,P,prime,55,,,,262.5,2.78,2.86,window_end,27.1,True,13.3,2.1,8.0
